1	 -62.425	 0.28822	     FC3
2	       0	 0.12662	     FCz
3	  62.425	 0.28822	     FC4
4	    -130	 0.21786	     CP3
5	     -90	 0.26669	      C3
6	     -90	 0.13319	      C1
7	       0	       0	      Cz
8	      90	 0.13348	      C2
9	      90	 0.26667	      C4
10	     130	 0.21786	     CP4
11	 -140.05	 0.34459	      P3
12	     180	 0.25338	      Pz
13	   140.1	  0.3445	      P4
14	 -162.07	 0.51499	      O1
15	     180	 0.50669	      Oz
16	  162.07	 0.51499	      O2
